N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_fake	aos	16	1024	32	1	4	1.41772	0.0105629
8M	256	cuda_fake	aos	16	1024	32	1	5	1.41643	0.0105532
8M	256	cuda_fake	aos	16	1024	64	1	1	1.35343	0.0100838
8M	256	cuda_fake	aos	16	1024	64	1	2	1.354	0.0100881
8M	256	cuda_fake	aos	16	1024	64	1	3	1.35344	0.0100839
8M	256	cuda_fake	aos	16	1024	64	1	4	1.35468	0.0100932
8M	256	cuda_fake	aos	16	1024	64	1	5	1.35403	0.0100883
8M	256	cuda_fake	aos	16	4096	1	1	1	0.845707	0.00630101
8M	256	cuda_fake	aos	16	4096	1	1	2	0.845502	0.00629948
8M	256	cuda_fake	aos	16	4096	1	1	3	0.826226	0.00615586
8M	256	cuda_fake	aos	16	4096	1	1	4	0.825951	0.00615381
8M	256	cuda_fake	aos	16	4096	1	1	5	0.826261	0.00615612
8M	256	cuda_fake	aos	16	4096	2	1	1	1.27734	0.00951691
8M	256	cuda_fake	aos	16	4096	2	1	2	1.27842	0.009525
8M	256	cuda_fake	aos	16	4096	2	1	3	1.27752	0.00951824
8M	256	cuda_fake	aos	16	4096	2	1	4	1.27708	0.00951498
8M	256	cuda_fake	aos	16	4096	2	1	5	1.2766	0.0095114
8M	256	cuda_fake	aos	16	4096	4	1	1	1.27697	0.00951419
8M	256	cuda_fake	aos	16	4096	4	1	2	1.27723	0.00951611
8M	256	cuda_fake	aos	16	4096	4	1	3	1.27816	0.00952303
8M	256	cuda_fake	aos	16	4096	4	1	4	1.27662	0.00951154
8M	256	cuda_fake	aos	16	4096	4	1	5	1.27754	0.00951841
8M	256	cuda_fake	aos	16	4096	8	1	1	1.41538	0.0105454
8M	256	cuda_fake	aos	16	4096	8	1	2	1.41572	0.0105479
8M	256	cuda_fake	aos	16	4096	8	1	3	1.415	0.0105426
8M	256	cuda_fake	aos	16	4096	8	1	4	1.41898	0.0105723
8M	256	cuda_fake	aos	16	4096	8	1	5	1.4159	0.0105493
8M	256	cuda_fake	aos	16	4096	16	1	1	1.34848	0.010047
8M	256	cuda_fake	aos	16	4096	16	1	2	1.34949	0.0100545
8M	256	cuda_fake	aos	16	4096	16	1	3	1.35484	0.0100943
8M	256	cuda_fake	aos	16	4096	16	1	4	1.34837	0.0100461
8M	256	cuda_fake	aos	16	4096	16	1	5	1.35518	0.0100969
8M	256	cuda_fake	aos	16	4096	32	1	1	1.35737	0.0101132
8M	256	cuda_fake	aos	16	4096	32	1	2	1.35873	0.0101233
8M	256	cuda_fake	aos	16	4096	32	1	3	1.35928	0.0101274
8M	256	cuda_fake	aos	16	4096	32	1	4	1.35869	0.010123
8M	256	cuda_fake	aos	16	4096	32	1	5	1.35854	0.0101219
8M	256	cuda_fake	aos	16	4096	64	1	1	1.37241	0.0102252
8M	256	cuda_fake	aos	16	4096	64	1	2	1.37382	0.0102358
8M	256	cuda_fake	aos	16	4096	64	1	3	1.3731	0.0102304
8M	256	cuda_fake	aos	16	4096	64	1	4	1.3729	0.0102289
8M	256	cuda_fake	aos	16	4096	64	1	5	1.37325	0.0102315
8M	256	cuda_fake	aos	20	16	1	1	1	12.4056	0.0739429
8M	256	cuda_fake	aos	20	16	1	1	2	11.6078	0.069188
8M	256	cuda_fake	aos	20	16	1	1	3	11.6068	0.069182
8M	256	cuda_fake	aos	20	16	1	1	4	11.6083	0.0691906
8M	256	cuda_fake	aos	20	16	1	1	5	11.6076	0.0691868
8M	256	cuda_fake	aos	20	16	2	1	1	6.88288	0.0410251
8M	256	cuda_fake	aos	20	16	2	1	2	6.51311	0.0388212
8M	256	cuda_fake	aos	20	16	2	1	3	6.36216	0.0379214
8M	256	cuda_fake	aos	20	16	2	1	4	6.35913	0.0379034
8M	256	cuda_fake	aos	20	16	2	1	5	6.3615	0.0379175
8M	256	cuda_fake	aos	20	16	4	1	1	3.18952	0.019011
8M	256	cuda_fake	aos	20	16	4	1	2	3.19491	0.0190432
8M	256	cuda_fake	aos	20	16	4	1	3	2.95661	0.0176228
8M	256	cuda_fake	aos	20	16	4	1	4	2.95543	0.0176157
8M	256	cuda_fake	aos	20	16	4	1	5	2.95763	0.0176288
8M	256	cuda_fake	aos	20	16	8	1	1	1.51683	0.00904102
8M	256	cuda_fake	aos	20	16	8	1	2	1.51723	0.00904338
8M	256	cuda_fake	aos	20	16	8	1	3	1.51639	0.00903841
8M	256	cuda_fake	aos	20	16	8	1	4	1.48281	0.00883824
8M	256	cuda_fake	aos	20	16	8	1	5	1.48283	0.00883838
8M	256	cuda_fake	aos	20	16	16	1	1	1.48265	0.00883728
8M	256	cuda_fake	aos	20	16	16	1	2	1.48229	0.00883514
8M	256	cuda_fake	aos	20	16	16	1	3	1.48394	0.00884497
8M	256	cuda_fake	aos	20	16	16	1	4	1.48319	0.00884052
8M	256	cuda_fake	aos	20	16	16	1	5	1.48247	0.00883624
8M	256	cuda_fake	aos	20	16	32	1	1	1.72499	0.0102818
8M	256	cuda_fake	aos	20	16	32	1	2	1.72447	0.0102786
8M	256	cuda_fake	aos	20	16	32	1	3	1.72473	0.0102802
